Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.5498930980854688,1.3236449738809217,1.3280902051925658,0.42342517768474347,0.5035853976531942,0.4985
2,1.2874866349860514,1.1161061816383153,1.1324427480697632,0.5310096387888229,0.6108213820078227,0.5935
3,1.124233930374603,0.9541455982301462,1.0036102299690246,0.6078278648622335,0.6704693611473272,0.646
4,1.0106423146720986,0.8778545110738681,0.8903742861747742,0.6499853957745108,0.7017601043024772,0.689
5,0.9346455010669625,0.8273976544733159,0.8384939825534821,0.6774413396942849,0.704367666232073,0.6965
6,0.8528105036306233,0.7624886011908529,0.7718721565008163,0.7060656216531983,0.7372881355932204,0.7415
7,0.8067018088893355,0.7566271852920181,0.7872769922018051,0.7187226170772076,0.7464146023468058,0.7365
8,0.7501001591994384,0.7204569240081279,0.7606076326370239,0.7453023074676273,0.7415254237288136,0.735
9,0.6944123685499218,0.710831876853869,0.7232517970204353,0.7570830493622821,0.7467405475880052,0.7535
10,0.6547443684991275,0.732399484631363,0.7249384322166443,0.7784052185765749,0.7470664928292047,0.7485
11,0.6147154391368973,0.7510903648605259,0.7335610738992691,0.7914516600136307,0.7376140808344198,0.7555
12,0.5746459590265313,0.7077880282607415,0.7006878449916839,0.8048875474637328,0.7555410691003911,0.768
13,0.5353925268389168,0.6643232475616969,0.6734608283638954,0.8181287119073118,0.7796610169491526,0.784
14,0.5001227896997119,0.687683543668148,0.703358755171299,0.8302015383117516,0.7646675358539765,0.7745
15,0.46137127153737895,0.6862547012096911,0.7186082758903504,0.8434427027553305,0.771838331160365,0.7745
16,0.4275072687116924,0.6838021302828565,0.720860656619072,0.8523999610553987,0.7689048239895697,0.772
17,0.3925098139833299,0.6936023931032954,0.7256551070213317,0.8664200175250706,0.7936766623207301,0.786
18,0.3689161079828381,0.6787728832568973,0.7122972544431686,0.8732353227533833,0.7910691003911343,0.794
19,0.34229617585018973,0.7164244191032291,0.7813278748989105,0.8850160646480382,0.7858539765319427,0.7665
20,0.31733581027439633,0.7602483188723758,0.8280835964679718,0.8934865154317982,0.7715123859191656,0.766
21,0.2964617780139931,0.7118285343477359,0.7698549286127091,0.9032226657579593,0.7891134289439374,0.775
22,0.28022815039340765,0.7311606893114609,0.7774437708854676,0.9054619803329763,0.7770534550195567,0.7715
23,0.24846894692519325,0.7698761197389103,0.8060522890090942,0.917534806737416,0.7803129074315515,0.7835
24,0.22971222755090098,0.7499572448529458,0.7988754073381424,0.9226949664102814,0.7610821382007823,0.763
25,0.22366259950053563,0.8167158893772163,0.8175266624689103,0.9261026190244377,0.772490221642764,0.779
26,0.19840628872886648,0.8614048954177633,0.9243897959887981,0.9349625158212442,0.7848761408083442,0.7695
27,0.1920519094773484,0.8165769585881814,0.8168855522274971,0.9384675299386622,0.7904172099087353,0.7805
28,0.17830414805565656,0.8242708257803315,0.846471121430397,0.9439197741213124,0.7747718383311604,0.774
29,0.1623182131613625,0.8795786319136217,0.9412975806593895,0.9485931262778697,0.772490221642764,0.756
30,0.16833335025862695,0.8901135910249044,0.8812585730850696,0.9431408820952195,0.766297262059974,0.763
31,0.14562116799305985,0.8892490649891442,0.8449692537784577,0.9526823094148573,0.7790091264667536,0.7785
32,0.1194374367637876,0.9586507266616687,0.964258659183979,0.9591081686301236,0.7780312907431551,0.775
33,0.12713411527833063,0.9408859849810748,0.9352895157039165,0.9584266381072923,0.7734680573663625,0.7775
34,0.12541082793537736,0.9074709394059634,0.9669000559449196,0.9589134456236005,0.7786831812255541,0.7675
