Epoch,Train Loss,Test Loss,Train Accuracy,Test Accuracy
1,1.5022599512937016,1.2686369994965692,0.43916551218319616,0.5231421121251629
2,1.2483817037423244,1.1191713258934517,0.5490995028929998,0.6147327249022164
3,1.087017729159595,0.8845142349988843,0.6216282291581778,0.6945893089960886
4,0.9644269292015762,0.8256875798106194,0.6658789014750224,0.7115384615384616
5,0.8910887183468531,0.7889967036511129,0.6921196316518621,0.7209908735332464
6,0.8169157281226564,0.7316137193508135,0.7188493195338603,0.7516297262059974
7,0.763277100149003,0.6947034677432384,0.7392225572487979,0.7594524119947849
8,0.7058397647687944,0.6905048097250983,0.7577214570939613,0.7526075619295959
9,0.6647503855874983,0.7188468074503666,0.7714122728383995,0.7477183833116037
10,0.6176155658518941,0.657769010392561,0.7847771167793985,0.7711864406779662
11,0.5697051999116659,0.6817085669220736,0.8006682421970499,0.7767275097783573
12,0.5378556158757893,0.7465469805174507,0.8133811425311711,0.7457627118644068
13,0.494717976153674,0.645142793529279,0.8316355635237552,0.7858539765319427
14,0.4576829090287042,0.6587181363235383,0.8449189145138946,0.7829204693611473
15,0.43568622595308815,0.7120803422876634,0.8521717871404123,0.7721642764015645
16,0.39564940953600514,0.6660508453011668,0.8672479830494663,0.7858539765319427
17,0.36693287498986704,0.6821997976779434,0.8769456442017766,0.7871577574967406
18,0.3392793057289708,0.7241238265366216,0.8875397278135442,0.7825945241199479
19,0.31763863632263617,0.7960295659237696,0.8961779806046777,0.7597783572359843
20,0.28470875758973996,0.6926093655686903,0.9044902615923722,0.7966101694915254
21,0.2761262524958015,0.7476989618153311,0.9070165430690246,0.7702086049543677
22,0.2553282977559032,0.7219057844001023,0.9151658381549996,0.7959582790091264
23,0.2290722213738939,0.7559587825586883,0.9260044006193464,0.7884615384615384
24,0.2189541989973852,0.7383140287226221,0.9295085975063158,0.7770534550195567
25,0.20093750643314406,0.7169132056515082,0.9344796675087605,0.8054106910039114
26,0.18901704446712542,0.7868366941820568,0.9387173009534675,0.7848761408083442
27,0.1761842881119294,0.8422754544493122,0.9444218075136501,0.7855280312907431
28,0.16465704441871956,0.8153696914926817,0.9466221171868633,0.7861799217731421
29,0.1524734606364113,0.7939507935943766,0.9502892999755521,0.7949804432855281
30,0.13505653881667015,0.8563494616449437,0.9554233558797164,0.7969361147327249
31,0.13902405463523357,0.8309014913371963,0.9564012712900334,0.7871577574967406
32,0.1239381034465718,0.8763097617823709,0.959498003422704,0.7858539765319427
33,0.11615370263545434,0.9101354529866512,0.9627577214570939,0.7855280312907431
34,0.1066691277718968,0.9134086320227652,0.9656099747371852,0.788787483702738
35,0.10964253525379583,0.886325113716642,0.9647135522777279,0.7891134289439374
36,0.10525298314190298,0.8683552750671879,0.9647950452285877,0.7926988265971316
37,0.0955632022159894,0.8599060191712246,0.9713959742482275,0.7904172099087353
38,0.08414951048447171,0.904272938575256,0.9730258332654226,0.7972620599739244
39,0.08600364105918322,0.8957467488896024,0.9726998614619835,0.795632333767927
40,0.0772203363023906,0.9936702266271217,0.975470621791215,0.780638852672751
41,0.06908622650236694,0.9587291650924877,0.9782413821204465,0.803129074315515
42,0.07120905007282606,0.9031227686418409,0.9774264526118491,0.7852020860495437
43,0.06824001957423502,1.0276119178197405,0.9786488468747453,0.780638852672751
44,0.0674739944152616,0.9789270991439025,0.9788118327764649,0.7985658409387223
45,0.06691802532654656,0.9480967544071367,0.9786488468747453,0.7966101694915254
46,0.054177145609369405,1.0121230687761151,0.9829679732703122,0.7936766623207301
47,0.0616865869066763,1.0360480471078215,0.9807676635970989,0.7894393741851369
48,0.058680219426297316,0.9870624754166784,0.9808491565479586,0.7904172099087353
49,0.057931311107228475,0.9717974185364255,0.9815825931056964,0.788787483702738
50,0.06229667660632341,0.8626977785110436,0.9801972129410806,0.7992177314211213
51,0.04544247401929046,0.9894099011013395,0.9850867899926656,0.7995436766623207
52,0.05051403948693412,0.9983157343382724,0.9837014098280499,0.7972620599739244
53,0.04679383091724021,0.949778742074462,0.9839458886806292,0.7985658409387223
54,0.04834326248396051,0.9758530986082405,0.9840273816314888,0.8044328552803129
55,0.041669683007996894,0.9792876931320885,0.9861461983538424,0.8014993481095176
56,0.043251605654562264,0.9935148221211421,0.9859017195012632,0.7917209908735332
57,0.03395407481774802,1.005922789073414,0.9894059163882324,0.8011734028683182
58,0.04073681576947895,1.0371142223060208,0.9882650150761959,0.7913950456323338
59,0.034161889487286684,1.0205224452899226,0.9887539727813545,0.8070404172099087
60,0.0395628360278674,1.0565403415894252,0.9871241137641594,0.7953063885267275
61,0.04379915476183693,0.9911095760453463,0.9861461983538424,0.7949804432855281
62,0.03845473529853387,1.0288055681404178,0.9876130714693179,0.7953063885267275
63,0.0374227065525538,1.0838141246241928,0.9884280009779154,0.7900912646675359
64,0.02829188578228702,1.023867860100798,0.9919321978648847,0.8148631029986962
65,0.031779714635083986,1.0437367008688245,0.9893244234373727,0.7959582790091264
66,0.036618764357368286,1.0153110467846318,0.9889169586830739,0.7969361147327249
67,0.032852080038294595,1.0615328734770249,0.9890799445847934,0.8060625814863103
68,0.02770189549018541,1.04436518932395,0.9910357754054274,0.8005215123859192
69,0.028402388277107216,1.083087399082918,0.9907098036019885,0.8014993481095176
70,0.031755112795276055,1.0379700888467294,0.9910357754054274,0.7936766623207301
71,0.027828676050441307,1.088860817291182,0.9925841414717627,0.7992177314211213
72,0.024917122291714187,1.1279119011396688,0.9910357754054274,0.7975880052151239
73,0.030130643031786777,1.041286781564698,0.9907912965528481,0.8001955671447197
74,0.027178240566441636,1.0167476639956778,0.9906283106511287,0.8014993481095176
75,0.02417233880290384,1.1232198780949147,0.9932360850786407,0.7943285528031291
76,0.03432481446825987,1.048107143381344,0.9896503952408117,0.795632333767927
77,0.025184147016291347,1.0408441534776405,0.9928286203243419,0.8008474576271186
78,0.024287500906581754,1.1721985216260389,0.9923396626191835,0.7936766623207301
79,0.02796932335386112,1.0749489425104268,0.9919321978648847,0.7998696219035202
80,0.023837956528727673,1.1597100146291648,0.9931545921277809,0.7858539765319427
81,0.024409176410258616,1.0414478769818818,0.9929101132752017,0.7995436766623207
