Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.7226010466856965,1.761706185826349,1.75935771802789,0.29651277595671577,0.2734220209453722,0.27485714285714286
2,1.5107738044694188,1.7219519849816058,1.7159549999454795,0.41072627463370326,0.26110953863572034,0.25857142857142856
3,1.3896168425199131,1.6292786223316624,1.6348756725929643,0.4610402432763319,0.33470138692329465,0.332
4,1.3148184591505396,1.6590540616760427,1.6546175028091152,0.49295051538248885,0.34276818567789413,0.3534285714285714
5,1.2582152964040139,1.5661195338581482,1.560654447503286,0.5161328541526796,0.42117180866119447,0.43885714285714283
6,1.2147776763497917,1.4867948137257434,1.4919906092561,0.5333912562694996,0.4684404189074441,0.4562857142857143
7,1.178586170933929,1.529367629219504,1.5248647677843974,0.5476481971486118,0.42032267195018397,0.42628571428571427
8,1.1512060884388655,1.5221139319342185,1.5209622524644686,0.5591801271671735,0.4122558731955845,0.41285714285714287
9,1.115445540061271,1.5396977859924281,1.5273371619176648,0.5766754867501284,0.4183413529578262,0.4217142857142857
10,1.0927091403167155,1.6098948290984556,1.6084882146147288,0.588286402590735,0.3259269742428531,0.332
11,1.067979598677919,1.555665656182561,1.5501904275319347,0.592472651159117,0.39187659213133313,0.4005714285714286
12,1.0490657309716214,1.599964683951296,1.594251595675673,0.5984755736345326,0.3270591565242004,0.3365714285714286
13,1.0271987384320511,1.6097191429246065,1.605718553338421,0.6067295920382292,0.338239456552505,0.3474285714285714
14,1.0092388292090921,1.5885099161803993,1.5876467342246068,0.6138778089332965,0.35338239456552506,0.3585714285714286
15,0.9865616935947162,1.6592553593724022,1.6546436874833825,0.6206705896291616,0.31630342485140106,0.3182857142857143
16,0.9652956934082154,1.52601302398276,1.5202722897812657,0.6337427431775996,0.42895556184545713,0.43
17,0.9473173267202745,1.5523437875158645,1.5471341343230853,0.6404565380514198,0.4054627795075007,0.4025714285714286
18,0.9334287811176579,1.4468384010220006,1.4483814775671588,0.648513091900004,0.47254457967732805,0.4717142857142857
19,0.9114209217262358,1.573602146152997,1.5730987662049734,0.6540026065321275,0.3972544579677328,0.3942857142857143
20,0.8900707083379477,1.5736595812965841,1.5661068441660981,0.6604004581177678,0.3823945655250495,0.38142857142857145
21,0.8739485057730955,1.5589153869119705,1.5531047767700126,0.667864618301015,0.39824511746391167,0.40485714285714286
22,0.8545478107578304,1.5891226904964015,1.5817504636773236,0.6722483314245093,0.38480045287291254,0.386
23,0.8376923809869337,1.5341997343490565,1.5435385981651202,0.6838197543540935,0.4278233795641098,0.4188571428571429
24,0.8275511867907405,1.4508928373388574,1.4544645542423476,0.6867422297697563,0.4306538352674781,0.4377142857142857
25,0.8000996799990111,1.520839103476494,1.5224637190500896,0.694166897041981,0.41423719218794225,0.41628571428571426
26,0.7804309556134803,1.506726341279923,1.5113092116569276,0.7035267169543067,0.4159354656099632,0.406
27,0.7633276409501903,1.4627297910360189,1.4625261559333975,0.7094901465186999,0.4459382960656666,0.43457142857142855
28,0.744254466360382,1.534507985028746,1.5378303990516489,0.7185735160538683,0.4009340503821115,0.388
29,0.7254271698728515,1.5239507462913635,1.5319667825960133,0.721811934757711,0.4115482592697424,0.3985714285714286
30,0.7121899898434016,1.572408587954163,1.5698187615229116,0.7292760949409581,0.37885649589583925,0.37857142857142856
31,0.6869678117490161,1.6761809811333186,1.6722994993810785,0.7373326487895423,0.32521936031701104,0.3231428571428571
32,0.6701264275133195,1.7565434310770682,1.749041645494226,0.7464950041467556,0.3321539767902632,0.3382857142857143
33,0.6533429064444929,1.7566453076865338,1.7547371937259693,0.7522609691560365,0.30314180583073874,0.3048571428571429
34,0.630144003239788,1.6765135474064772,1.6825113976927109,0.7620157181785869,0.32677611095386355,0.33285714285714285
