Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.532813707708941,1.3664868716344547,1.3867833676338195,0.42410670820757473,0.4957627118644068,0.4795
2,1.2718342210273506,1.1325283832265995,1.1756518793106079,0.5350988219258105,0.6043024771838331,0.5665
3,1.1170151291235213,0.9479122631407032,0.9675535402297973,0.606464803816571,0.6681877444589309,0.654
4,0.9994401550181559,0.834141084497484,0.8743662440776825,0.6518352643364813,0.7063233376792699,0.683
5,0.9106834384604036,0.7871010603654819,0.82541836810112,0.6815305228312725,0.7196870925684485,0.7065
6,0.8425122672152296,0.7942813976260368,0.8350027990341187,0.7041183915879661,0.7216427640156454,0.704
7,0.786737477412662,0.7501014355899921,0.7777877591848373,0.7239801382533346,0.7320730117340287,0.7295
8,0.7360325470288224,0.728589332458796,0.7439720726013184,0.7432577158991335,0.7392438070404173,0.7275
9,0.6941829339319672,0.697181903286643,0.7276366052627563,0.7632168240677636,0.7610821382007823,0.75
10,0.6495118849095526,0.6966746486511207,0.7169572069048882,0.7780157725635284,0.7649934810951761,0.7625
11,0.6117693777906932,0.7404657816083878,0.7424439183473587,0.7892123454386136,0.7480443285528031,0.7415
12,0.5537933671841183,0.7446163744316436,0.7451244053840638,0.8091714536072437,0.7620599739243807,0.752
13,0.5256611248275201,0.7106744601308795,0.7173434353470802,0.8191023269399279,0.7666232073011734,0.7695
14,0.4826799498354534,0.729602422925988,0.748733887553215,0.8391587966118197,0.7552151238591917,0.756
15,0.44733459812319165,0.7033344694524809,0.7373667742013932,0.8489923084412423,0.7685788787483703,0.7585
16,0.42147113530783453,0.7080191670412811,0.7460807118415832,0.8591179047804498,0.7734680573663625,0.774
17,0.39078215842143954,0.7112395781553763,0.7625177965164185,0.8701197546490118,0.7760756192959583,0.7555
18,0.3555830963350531,0.7366221890739931,0.7551510716676713,0.8813163275240969,0.7653194263363755,0.7685
19,0.3433916356089609,0.7504096462433457,0.7889467095136642,0.8846266186349917,0.7669491525423728,0.7645
