Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.5671359323412994,1.5916055993487437,1.6008557097552574,0.41819632881085395,0.5094524119947849,0.488
2,1.2479453916323857,1.2454784748454888,1.2608652716357958,0.5439516588758408,0.5951760104302477,0.5754285714285714
3,1.1106478422065902,1.2139960722997785,1.222586163102764,0.5968532664462433,0.6251629726205997,0.6162857142857143
4,1.0106014204915539,1.1365053163220484,1.1480918210935376,0.6374415688062934,0.6264667535853976,0.6131428571428571
5,0.9239952148418392,1.0110565058421344,1.0268123563566165,0.6703910614525139,0.6434159061277706,0.6311428571428571
6,0.8743197417975775,0.9634186151282241,0.9848206198378785,0.6886329950974803,0.6854628422425033,0.6742857142857143
7,0.8268669424866936,0.9818996355558435,0.9946418604622148,0.7031125299281724,0.6769882659713168,0.6568571428571428
8,0.772702713807424,0.9694887959243109,0.9841590767309546,0.7256869228138183,0.7069752281616688,0.6897142857142857
9,0.7393215178954796,0.9433025016138951,0.9758243314479584,0.7360620225743929,0.6991525423728814,0.6708571428571428
10,0.7071565101109785,0.9662833958864212,0.9821210869643242,0.7470071827613727,0.6897001303780965,0.6665714285714286
11,0.6693817433818008,0.9356923822003106,0.9605257803718793,0.7608026450803785,0.7190352020860495,0.702
12,0.6417603476722819,0.9373598556655148,0.9677521255734849,0.7744840953141033,0.6848109517601043,0.6628571428571428
13,0.6139061528314007,0.8776182237391671,0.9111485264889182,0.7817808687720899,0.6910039113428944,0.6711428571428572
14,0.592266512956667,0.8181634444044903,0.8361554058719444,0.7912438718504161,0.7196870925684485,0.7091428571428572
15,0.5634353799178844,0.8252974310113738,0.8424838321394028,0.8043552616577357,0.734354628422425,0.7131428571428572
16,0.5442769722724655,0.9787515794547895,1.0060361423721051,0.8067495154486376,0.6453715775749674,0.6257142857142857
17,0.5175950321316285,0.8880872234391669,0.9017764648346052,0.8181507239767415,0.7154498044328553,0.7062857142857143
18,0.505864578613058,0.8564009341644123,0.8887629353836791,0.8214570744498917,0.7164276401564538,0.698
19,0.47943434309899696,0.785848156005765,0.8136634487811834,0.8332003192338387,0.7483702737940026,0.7308571428571429
20,0.48429220729594025,0.911675015774866,0.9344258328823194,0.8298939687606887,0.7147979139504563,0.6931428571428572
21,0.43648575021052405,0.8045194076451784,0.8345549581529887,0.8475658419792498,0.7415254237288136,0.7222857142857143
22,0.41816534020535934,0.805826164316386,0.8318224271682844,0.850986204537681,0.7490221642764016,0.7277142857142858
23,0.40219324363059683,0.8185662104127308,0.8404229227538522,0.8586250142515106,0.757496740547588,0.7325714285714285
24,0.39583063779741473,0.7968659833422862,0.8282327017827665,0.85965112301904,0.7356584093872229,0.7137142857142857
25,0.3659818766211144,0.7486946725596985,0.7873006102429133,0.8691141260973663,0.7496740547588006,0.7288571428571429
26,0.3513387520381933,0.9208082327774415,0.9607027622118388,0.8727625128263596,0.6678617992177314,0.6525714285714286
27,0.3446317500517939,0.8193516842632865,0.8385468345798858,0.8774370083228822,0.7249022164276402,0.7125714285714285
28,0.31702269863707755,0.8304533578145007,0.8745865676228859,0.8855318663778361,0.7089308996088657,0.6845714285714286
29,0.3048302750111658,0.8919977998205771,0.9186614757259143,0.8923725914946984,0.6874185136897001,0.6825714285714286
30,0.302667958193708,1.0870427864914138,1.1146227069641357,0.8920305552388553,0.6173402868318123,0.6105714285714285
31,0.2844826191416068,0.9006334522273391,0.9396197122253783,0.8973891232470642,0.6883963494132985,0.666
32,0.26674980574452023,0.8891050778717423,0.9108257288257825,0.9055979933872991,0.6828552803129074,0.6774285714285714
33,0.2648404147560778,0.8489134802560633,0.8730446580610319,0.9062820658989853,0.7187092568448501,0.6917142857142857
34,0.24418817992993921,0.8495082252581293,0.8878707672090835,0.9174552502565272,0.6952411994784876,0.6734285714285714
35,0.23384413107693575,1.028390827161881,1.0615879144842766,0.9169992019154031,0.6297262059973925,0.6162857142857143
36,0.21600244372645444,1.027363725239411,1.0643659781103265,0.9215596853266447,0.628096479791395,0.6111428571428571
37,0.20735102657988694,1.146284278598614,1.1951340733597813,0.9248660357997948,0.5870273794002607,0.5774285714285714
38,0.22757409584499855,1.1320411525278662,1.1799683178940865,0.9205335765591153,0.5928943937418514,0.5751428571428572
39,0.19879086920228162,0.8747694435684631,0.9118317222758515,0.9286284346140691,0.6835071707953064,0.6682857142857143
