Epoch,Train Loss,Test Loss,Validation Loss,Train Accuracy,Test Accuracy,Validation Accuracy
1,1.6137723334213638,1.430027710501425,1.4415815350127548,0.3623079657201532,0.462921030285876,0.45485714285714285
2,1.4084042649967943,1.34410710676628,1.3406766560524022,0.45377354764819716,0.4966034531559581,0.48714285714285716
3,1.2758862637901185,1.2355030732844614,1.2481812089001207,0.5082737648592077,0.5258986696858194,0.522
4,1.184064923060219,1.1991620209084917,1.2077320147322737,0.5488724773903084,0.5450042456835551,0.538
5,1.1086740470053045,1.2241659779017326,1.2068627773354588,0.5771888945934205,0.5380696292103029,0.54
6,1.035190459093713,1.1392933318467298,1.1387516551366135,0.6061766912839145,0.5658080951033116,0.5725714285714286
7,0.9706885735030726,1.1339646374714052,1.1503520082665362,0.6327554204020378,0.5799603736201528,0.5662857142857143
8,0.9025970226176088,1.1618483657379766,1.162665722576995,0.6604794439398128,0.5692046419473535,0.56
9,0.8246230982898235,1.126190856461544,1.1180266982888523,0.6932190671774416,0.589300877441268,0.5837142857142857
10,0.7669030924104695,1.142013733355303,1.1613172770363012,0.7163224201255874,0.584489102745542,0.5577142857142857
11,0.697121243017878,1.274861635682405,1.3028035312210589,0.7409265036925872,0.5694876875176903,0.5557142857142857
12,0.6275911332918207,1.2889929734069299,1.3229013772587799,0.7699143003830813,0.5594395697707331,0.554
13,0.5672553844058055,1.2823094860798094,1.2976996618318775,0.7956241854587102,0.5727427115765639,0.5597142857142857
14,0.5072826274699489,1.3813793792524185,1.3513312595620004,0.819991311559575,0.5826493065383527,0.5677142857142857
15,0.4562385184837438,1.4629112273218674,1.4534241165880744,0.8369337703882154,0.5663741862439853,0.5662857142857143
16,0.42359150425941033,1.5450416883259876,1.578853584655888,0.8485051933177995,0.5711859609397113,0.5557142857142857
17,0.355153081912738,1.6165258294704679,1.6735041109530349,0.8757553019233048,0.5690631191621851,0.5628571428571428
18,0.3214008786356099,1.5492309894143053,1.576669733546096,0.8854705580348328,0.5849136711010473,0.568
19,0.2825905877213739,1.6815333291048045,1.765657780785539,0.9031238892618775,0.5758562128502689,0.5611428571428572
20,0.26045351269856726,1.8338822403035602,1.7906903521111022,0.9098376841356977,0.5523634305123125,0.5522857142857143
21,0.2348911810677501,1.771174365692515,1.7578400065909783,0.919000039492911,0.5905745825077837,0.578
22,0.20443170364541358,1.7515844980094633,1.8029160438335106,0.930058054579203,0.5757146900651005,0.5614285714285714
23,0.18339040477960755,2.0256687185550066,2.078336359907503,0.9373247502073377,0.5776960090574582,0.5648571428571428
24,0.16981546508662512,1.8806719811526493,1.9372894618337013,0.9393388886694838,0.5876026040192471,0.5717142857142857
25,0.16015878792145288,2.0972658335257583,2.100494334142502,0.9462896410094388,0.5706198697990377,0.5754285714285714
